"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"120";22;1;102632;9;3;2;4;1;1;0;0;41;1;1
"121";21;1;199915;10;3;3;2;1;0;0;0;40;1;1
"122";40;1;118853;13;1;5;3;1;1;0;0;60;1;1
"123";30;1;77143;13;3;5;2;5;1;0;0;40;6;1
"124";29;6;267989;13;1;6;3;1;1;0;0;50;1;2
"125";19;1;301606;10;3;3;2;5;1;0;0;35;1;1
"126";47;1;287828;13;1;5;1;1;0;0;0;40;1;2
"127";20;1;111697;10;3;9;2;1;0;0;1719;28;1;1
"128";31;1;114937;12;1;9;3;1;1;0;0;40;1;2
"129";35;NA;129305;9;1;NA;3;1;1;0;0;40;1;1
"130";39;1;365739;10;2;2;4;1;1;0;0;40;1;1
"131";28;1;69621;12;3;4;4;1;0;0;0;60;1;1
"132";24;1;43323;9;3;3;4;1;0;0;1762;40;1;1
"133";38;2;120985;9;1;2;3;1;1;4386;0;35;1;1
"134";37;1;254202;13;1;4;3;1;1;0;0;50;1;1
"135";46;1;146195;12;2;1;4;5;0;0;0;36;1;1
"136";38;4;125933;14;1;6;3;1;1;0;0;40;14;2
"137";43;2;56920;9;1;2;3;1;1;0;0;60;1;1
"138";27;1;163127;11;1;9;1;1;0;0;0;35;1;1
"139";20;1;34310;10;3;4;2;1;1;0;0;20;1;1
"140";49;1;81973;10;1;2;3;2;1;0;0;40;1;2
"141";61;3;66614;9;1;2;3;1;1;0;0;40;1;1
"142";27;1;232782;10;3;4;2;1;0;0;0;40;1;1
"143";19;1;316868;10;3;3;2;1;1;0;0;30;21;1
"144";45;1;196584;11;3;6;4;1;0;0;1564;40;1;2
"145";70;1;105376;10;3;1;5;1;1;0;0;40;1;1
"146";31;1;185814;9;3;11;6;5;0;0;0;30;1;1
"147";22;1;175374;10;1;3;3;1;1;0;0;24;1;1
"148";36;1;108293;9;5;3;6;1;0;0;0;24;1;1
"149";64;1;181232;7;1;2;3;1;1;0;2179;40;1;1
"150";43;NA;174662;10;2;NA;4;1;0;0;0;40;1;1
"151";47;5;186009;10;2;9;6;1;0;0;0;38;21;1
"152";34;1;198183;9;3;9;4;1;0;0;0;40;1;1
"153";33;1;163003;13;3;5;5;2;0;0;0;40;16;1
"154";21;1;296158;9;3;2;2;1;1;0;0;35;1;1
"155";52;NA;252903;9;2;NA;4;1;1;0;0;45;1;2
"156";48;1;187715;9;1;2;3;1;1;0;0;46;1;1
"157";23;1;214542;13;3;7;4;1;1;0;0;40;1;1
"158";71;2;494223;10;4;4;6;5;1;0;1816;2;1;1
"159";29;1;191535;9;2;2;4;1;1;0;0;60;1;1
"160";42;1;228456;13;4;3;5;5;1;0;0;50;1;1
"161";68;NA;38317;2;2;NA;4;1;0;0;0;20;1;1
"162";25;1;252752;9;3;3;6;1;0;0;0;40;1;1
"163";44;3;78374;14;2;5;6;2;0;0;0;40;1;1
"164";28;1;88419;9;3;5;4;2;0;0;0;40;3;1
"165";45;2;201080;14;1;4;3;1;1;0;0;40;1;2
"166";36;1;207157;10;2;3;6;1;0;0;0;40;21;1
"167";39;4;235485;12;3;5;4;1;1;0;0;42;1;1
"168";46;6;102628;14;5;13;6;1;1;0;0;40;1;1
"169";18;1;25828;7;3;7;2;1;1;0;0;16;1;1
"170";66;5;54826;11;5;6;4;1;0;0;0;20;1;1
"171";27;1;124953;9;3;3;4;1;1;0;1980;40;1;1
"172";28;6;175325;9;1;13;3;1;1;0;0;40;1;1
"173";51;1;96062;10;1;4;3;1;1;0;1977;40;1;2
"174";27;1;428030;13;3;2;4;1;1;0;0;50;1;1
"175";28;6;149624;13;1;6;3;1;1;0;0;40;1;2
"176";27;1;253814;9;6;4;6;1;0;0;0;25;1;1
"177";21;1;312956;9;3;2;2;5;1;0;0;40;1;1
"178";34;1;483777;9;3;7;4;5;1;0;0;40;1;1
"179";18;1;183930;9;3;3;2;1;1;0;0;12;1;1
"180";33;1;37274;13;1;6;3;1;1;0;0;65;1;1
"181";44;5;181344;10;1;5;3;5;1;0;0;38;1;2
"182";43;1;114580;10;2;9;4;1;0;0;0;40;1;1
"183";30;1;633742;10;3;2;4;5;1;0;0;45;1;1
"184";40;1;286370;4;1;8;3;1;1;0;0;40;21;2
"185";37;4;29054;10;1;9;3;1;1;0;0;42;1;2
"186";34;1;304030;9;1;9;3;5;1;0;0;40;1;1
"187";41;2;143129;13;2;5;4;1;0;0;0;40;1;1
"188";53;NA;135105;13;2;NA;4;1;0;0;0;50;1;1
"189";31;1;99928;14;1;6;1;1;0;0;0;50;1;1
"190";58;6;109567;16;1;6;3;1;1;0;0;1;1;2
"191";38;1;155222;10;2;8;4;5;0;0;0;28;1;1
"192";24;1;159567;10;1;8;3;1;1;0;0;40;1;1
"193";41;5;523910;13;1;2;3;5;1;0;0;40;1;1
"194";47;1;120939;10;1;1;3;1;1;0;0;45;1;1
"195";41;4;130760;13;1;1;3;1;1;0;0;24;1;1
"196";23;1;197387;3;1;11;5;1;1;0;0;40;21;1
"197";36;1;99374;10;2;2;4;1;1;0;0;40;1;1
"198";40;4;56795;14;3;5;4;1;0;14084;0;55;1;2
"199";35;1;138992;14;1;6;5;1;1;7298;0;40;1;2
"200";24;2;32921;9;3;4;4;1;1;0;0;40;1;1
"201";26;1;397317;14;3;6;4;1;0;0;1876;40;1;1
"202";19;NA;170653;9;3;NA;2;1;1;0;0;40;17;1
"203";51;1;259323;13;1;5;3;1;1;0;0;50;1;2
"204";42;5;254817;10;3;6;4;1;0;0;1340;40;1;1
"205";37;6;48211;9;2;9;6;1;0;0;0;35;1;1
"206";18;1;140164;7;3;4;2;1;0;0;0;40;1;1
"207";36;1;128757;13;1;3;3;5;1;7298;0;36;1;2
"208";35;1;36270;9;2;2;4;1;1;0;0;60;1;1
"209";58;3;210563;9;1;4;1;1;0;15024;0;35;1;2
"210";17;1;65368;7;3;4;2;1;0;0;0;12;1;1
"211";44;5;160943;9;1;11;3;5;1;0;0;40;1;1
"212";37;1;208358;9;1;2;3;1;1;0;0;40;1;2
"213";35;1;153790;10;3;4;4;3;0;0;0;40;1;1
"214";60;1;85815;9;1;2;3;2;1;0;0;40;1;1
"215";54;3;125417;4;1;8;3;1;1;0;0;40;1;2
"216";37;1;635913;13;3;5;4;5;1;0;0;60;1;2
"217";50;1;313321;12;2;4;4;1;0;0;0;40;1;1
"218";38;1;182609;13;1;4;3;1;1;0;0;50;18;1
"219";45;1;109434;13;1;6;3;1;1;0;0;55;1;1
"220";25;1;255004;6;3;2;4;1;1;0;0;40;1;1
"221";31;1;197860;10;1;7;3;1;1;0;0;40;1;1
"222";64;NA;187656;2;2;NA;4;1;1;0;0;40;1;1
"223";90;1;51744;9;3;3;4;5;1;0;2206;40;1;1
"224";54;1;176681;9;1;9;3;5;1;0;0;20;1;1
"225";53;5;140359;1;3;8;4;1;0;0;0;35;1;1
"226";18;1;243313;9;3;4;2;1;0;0;0;40;1;1
"227";60;NA;24215;6;2;NA;4;3;0;0;0;10;1;1
"228";66;2;167687;9;1;10;3;1;1;1409;0;50;1;1
"229";75;1;314209;11;5;9;4;1;0;0;0;20;30;1
"230";65;1;176796;9;2;9;4;1;0;0;0;40;1;1
"231";35;1;538583;7;4;11;4;5;1;3674;0;40;1;1
"232";41;1;130408;9;2;4;6;5;0;0;0;38;1;1
"233";25;1;159732;10;3;9;4;1;1;0;0;42;1;1
"234";33;1;110978;10;2;2;5;4;0;0;0;40;1;1
"235";28;1;76714;15;3;6;4;1;1;0;0;55;1;2
"236";59;6;268700;9;1;3;3;1;1;0;0;40;1;1
"237";40;6;170525;10;3;9;4;1;0;0;0;38;1;1
"238";41;1;180138;13;1;5;3;1;1;0;0;50;14;2
"239";38;5;115076;14;1;5;3;1;1;0;0;70;1;2
"240";23;1;115458;9;3;11;2;1;1;0;0;40;1;1
"241";40;1;347890;13;1;6;3;1;1;0;0;40;1;2
"242";41;2;196001;9;1;3;1;1;0;0;0;20;1;1
"243";24;6;273905;12;1;13;3;1;1;0;0;50;1;1
"244";20;NA;119156;10;3;NA;2;1;1;0;0;20;1;1
"245";38;1;179488;10;2;2;4;1;1;0;1741;40;1;1
"246";56;1;203580;9;1;9;3;1;1;0;0;35;NA;1
"247";58;1;236596;9;1;9;3;1;1;0;0;45;1;2
"248";32;1;183916;9;3;3;4;1;0;0;0;34;1;1
"249";40;1;207578;12;1;1;3;1;1;0;1977;60;1;2
"250";45;1;153141;9;1;9;3;1;1;0;0;40;NA;1
"251";41;1;112763;15;1;6;1;1;0;0;0;40;1;2
"252";42;1;390781;13;1;9;1;5;0;0;0;40;1;1
"253";59;5;171328;6;5;3;6;5;0;0;0;30;1;1
"254";19;5;27382;10;3;9;2;1;1;0;0;40;1;1
"255";58;1;259014;10;3;11;4;1;1;0;0;20;1;1
"256";42;2;303044;9;1;10;3;2;1;0;0;40;2;2
"257";20;1;117789;9;3;3;2;1;0;0;0;40;1;1
"258";32;1;172579;9;4;3;4;1;0;0;0;30;1;1
"259";45;1;187666;11;5;5;4;1;0;0;0;45;1;1
"260";50;1;204518;4;2;2;4;1;1;0;0;40;1;1
"261";36;1;150042;13;2;6;2;1;0;0;0;40;1;1
"262";45;1;98092;9;1;4;3;1;1;0;0;60;1;1
"263";17;1;245918;7;3;3;2;1;1;0;0;12;1;1
"264";59;1;146013;10;1;4;3;1;1;4064;0;40;1;1
"265";26;1;378322;7;1;2;3;1;1;0;0;40;1;1
"266";37;3;257295;10;1;5;3;2;1;0;0;75;35;2
"267";19;NA;218956;10;3;NA;2;1;1;0;0;24;5;1
"268";64;1;21174;9;1;5;3;1;1;0;0;40;1;2
"269";33;1;185480;13;3;6;4;1;0;0;0;45;1;1
"270";33;1;222205;9;1;2;1;1;0;0;0;40;1;2
"271";61;1;69867;9;1;5;3;1;1;0;0;40;1;2
"272";17;1;191260;5;3;3;2;1;1;1055;0;24;1;1
"273";50;2;30653;14;1;10;3;1;1;2407;0;98;1;1
"274";27;5;209109;14;3;6;2;1;1;0;0;35;1;1
"275";30;1;70377;9;2;6;2;1;0;0;0;40;1;1
"276";43;1;477983;9;1;7;3;5;1;0;0;40;1;1
"277";44;1;170924;10;1;2;3;1;1;7298;0;40;1;2
"278";35;1;190174;10;3;5;4;1;0;0;0;40;1;1
"279";25;1;193787;10;3;1;2;1;0;0;0;40;1;1
"280";24;1;279472;10;1;8;1;1;0;7298;0;48;1;2
"281";22;1;34918;13;3;6;4;1;0;0;0;15;6;1
"282";42;5;97688;10;1;2;3;1;1;5178;0;40;1;2
"283";34;1;175413;12;2;4;6;5;0;0;0;45;1;1
"284";60;1;173960;13;2;6;4;1;0;0;0;42;1;1
"285";21;1;205759;9;3;7;2;1;1;0;0;40;1;1
"286";57;4;425161;14;1;4;3;1;1;15024;0;40;1;2
"287";41;1;220531;15;1;6;3;1;1;0;0;60;1;2
"288";50;1;176609;10;2;3;4;1;1;0;0;45;1;1
"289";25;1;371987;13;3;5;4;1;0;0;0;40;1;1
"290";50;1;193884;4;1;2;3;1;1;0;0;40;27;1
"291";36;1;200352;13;1;6;3;1;1;0;0;45;1;1
"292";31;1;127595;9;2;6;4;1;0;0;0;40;1;1
"293";29;5;220419;13;3;13;4;1;1;0;0;56;1;1
"294";21;1;231931;10;3;4;2;1;1;0;0;45;1;1
"295";27;1;248402;13;3;1;6;5;0;0;0;40;1;1
"296";65;1;111095;9;1;11;3;1;1;0;0;16;1;1
"297";37;3;57424;13;2;4;4;1;0;0;0;60;1;1
"298";39;NA;157443;14;1;NA;1;2;0;3464;0;40;NA;1
"299";24;1;278130;9;3;2;2;1;1;0;0;40;1;1
"300";38;1;169469;9;2;4;4;1;1;0;0;80;1;1
"301";48;1;146268;13;1;9;3;1;1;7688;0;40;1;2
"302";21;1;153718;10;3;3;4;2;0;0;0;25;1;1
"303";31;1;217460;9;1;11;3;1;1;0;0;45;1;2
"304";55;1;238638;9;1;4;3;1;1;4386;0;40;1;2
"305";24;1;303296;10;1;9;1;2;0;0;0;40;26;1
"306";43;1;173321;9;2;9;4;1;0;0;0;40;1;1
"307";26;1;193945;12;3;1;4;1;1;0;0;45;1;1
"308";46;1;83082;12;3;6;4;1;0;0;0;33;1;1
"309";35;1;193815;12;1;9;3;1;1;0;0;40;1;2
"310";41;3;34987;10;1;10;3;1;1;0;0;54;1;2
"311";26;1;59306;13;3;4;4;1;1;0;0;40;1;1
"312";34;1;142897;14;1;5;3;2;1;7298;0;35;28;2
"313";19;NA;860348;10;3;NA;2;5;0;0;0;25;1;1
"314";36;2;205607;13;2;6;4;5;0;0;0;40;1;2
"315";22;1;199698;10;3;4;2;1;1;0;0;15;1;1
"316";24;1;191954;10;3;8;4;1;1;0;0;40;1;1
"317";77;2;138714;10;1;4;3;1;1;0;0;40;1;1
"318";22;1;399087;3;1;8;5;1;0;0;0;40;21;1
"319";29;1;423158;10;3;1;4;1;0;0;0;40;1;1
"320";62;1;159841;9;5;3;4;1;0;0;0;24;1;1
"321";39;2;174308;9;1;5;3;1;1;0;0;40;1;1
"322";43;1;50356;10;1;2;3;1;1;0;1485;50;1;1
"323";35;1;186110;9;2;11;4;1;1;0;0;45;1;1
"324";29;1;200381;7;3;5;4;1;0;0;0;40;1;1
"325";76;2;174309;14;1;2;3;1;1;0;0;10;1;1
"326";63;2;78383;9;1;10;3;1;1;0;0;45;1;1
"327";23;NA;211601;11;3;NA;2;5;0;0;0;15;1;1
"328";43;1;187728;10;1;6;1;1;0;0;1887;50;1;2
"329";58;2;321171;9;1;7;3;1;1;0;0;40;1;1
"330";66;1;127921;9;3;11;4;1;1;2050;0;55;1;1
"331";41;1;206565;10;3;2;4;5;1;0;0;45;1;1
"332";26;1;224563;13;3;9;4;1;1;0;0;40;1;1
"333";47;1;178686;11;3;3;4;1;1;0;0;40;1;1
"334";55;5;98545;6;1;9;3;1;1;0;0;40;1;1
"335";53;1;242606;9;1;11;3;1;1;0;0;40;1;1
"336";17;1;270942;3;3;3;5;1;1;0;0;48;21;1
"337";30;1;94235;9;3;2;5;1;1;0;0;40;1;1
"338";49;1;71195;14;3;6;4;1;1;0;0;60;1;1
"339";19;1;104112;9;3;4;6;5;1;0;0;30;29;1
"340";45;1;261192;9;1;3;3;5;1;0;0;40;1;1
"341";26;1;94936;12;3;4;4;1;1;0;0;40;1;1
"342";38;1;296478;11;1;2;3;1;1;7298;0;40;1;2
"343";36;6;119272;9;1;13;3;1;1;7298;0;40;1;2
"344";33;1;85043;9;3;10;4;1;1;0;0;20;1;1
"345";22;6;293364;10;3;13;2;5;0;0;0;40;1;1
"346";43;2;241895;13;3;4;4;1;1;0;0;42;1;1
"347";67;NA;36135;7;1;NA;3;1;1;0;0;8;1;1
"348";30;NA;151989;11;2;NA;6;1;0;0;0;40;1;1
"349";56;1;101128;12;6;3;4;1;1;0;0;25;14;1
"350";31;1;156464;13;3;6;2;1;1;0;0;25;1;1
"351";33;1;117963;13;1;5;3;1;1;0;0;40;1;2
"352";26;1;192262;9;1;3;3;1;1;0;0;40;1;1
"353";33;1;111363;13;1;5;3;1;1;0;0;40;1;2
"354";46;5;329752;7;1;11;3;1;1;0;0;30;1;1
"355";59;NA;372020;13;1;NA;3;1;1;0;0;40;1;2
"356";38;4;95432;9;1;9;3;1;1;0;0;40;1;2
"357";65;1;161400;7;5;3;6;4;1;0;0;40;1;1
"358";40;1;96129;11;1;1;3;1;1;0;0;40;1;2
"359";42;1;111949;9;1;9;1;1;0;0;0;35;1;1
"360";26;2;117125;5;1;2;3;1;1;0;0;40;22;1
"361";36;1;348022;6;1;3;1;1;0;0;0;24;1;1
"362";62;1;270092;14;1;6;3;1;1;0;0;40;1;2
"363";43;1;180609;13;1;11;3;1;1;0;0;45;1;1
"364";43;1;174575;13;2;5;4;1;1;0;1564;45;1;2
"365";22;1;410439;9;6;4;4;1;1;0;0;55;1;1
"366";28;1;92262;9;1;2;3;1;1;0;0;40;1;1
"367";56;2;183081;10;1;4;3;1;1;0;0;45;1;1
"368";22;1;362589;12;3;4;4;1;0;0;0;15;1;1
"369";57;1;212448;13;2;5;4;1;0;0;0;45;1;2
"370";39;1;481060;9;2;4;6;1;0;0;0;40;1;1
"371";26;4;185885;10;3;9;6;1;0;0;0;15;1;1
"372";17;1;89821;7;3;3;2;1;1;0;0;10;1;1
"373";40;6;184018;11;1;8;3;1;1;0;0;38;1;2
"374";45;1;256649;9;1;8;3;5;1;0;0;40;1;1
"375";44;1;160323;9;3;2;4;5;1;0;0;40;1;1
"376";20;5;350845;10;3;9;2;1;0;0;0;10;1;1
"377";33;1;267404;9;1;2;1;1;0;0;0;40;1;1
"378";23;1;35633;10;3;4;4;1;1;0;0;40;1;1
"379";46;2;80914;14;2;5;4;1;1;0;0;30;1;1
"380";38;1;172927;9;1;4;3;1;1;0;0;50;1;1
"381";54;1;174319;9;2;11;4;1;1;0;0;40;1;1
"382";46;1;214955;3;2;2;4;1;0;0;2339;45;1;1
"383";25;1;344991;10;1;2;3;1;1;0;0;40;1;1
"384";46;1;108699;10;2;4;4;1;0;0;0;40;1;1
"385";36;5;117312;10;1;11;1;1;0;0;0;40;1;1
"386";23;1;396099;9;3;3;4;1;0;0;0;25;1;1
"387";29;1;134152;9;4;8;4;1;1;0;0;40;1;1
"388";44;1;162028;10;1;9;1;1;0;0;2415;6;1;2
"389";19;1;25429;10;3;9;2;1;0;0;0;16;1;1
"390";19;1;232392;9;3;3;5;1;0;0;0;40;1;1
"391";35;1;220098;9;1;3;1;1;0;0;0;40;1;2
"392";27;1;301302;13;3;2;4;1;1;0;0;50;1;1
"393";46;2;277946;12;4;2;4;1;1;0;0;40;1;1
"394";34;6;98101;13;1;5;3;1;1;7688;0;45;NA;2
"395";34;1;196164;9;3;3;4;1;0;0;0;35;1;1
"396";44;1;115562;10;1;1;3;1;1;0;0;40;1;1
"397";45;1;96975;10;2;7;6;1;0;0;0;40;1;1
"398";20;NA;137300;9;3;NA;5;1;0;0;0;35;1;1
"399";25;1;86872;13;1;5;3;1;1;0;0;55;1;2
"400";52;3;132178;13;1;5;3;1;1;0;0;50;1;2
"401";20;1;416103;10;3;7;2;1;1;0;0;40;1;1
"402";28;1;108574;10;3;3;4;1;0;0;0;40;1;1
"403";50;6;288353;13;1;13;3;1;1;0;0;40;1;2
"404";34;1;227689;11;2;1;4;1;0;0;0;64;1;1
"405";28;1;166481;4;1;7;3;4;1;0;2179;40;4;1
"406";41;1;445382;14;1;5;3;1;1;0;1977;65;1;2
"407";28;1;110145;9;1;9;3;1;1;0;0;40;1;1
"408";46;2;317253;9;1;2;3;1;1;0;0;25;1;1
"409";28;NA;123147;10;1;NA;1;1;0;0;1887;40;1;2
"410";32;1;364657;10;1;5;3;1;1;0;0;50;1;1
"411";41;5;42346;10;2;3;4;5;0;0;0;24;1;1
"412";24;1;241951;9;3;7;6;5;0;0;0;40;1;1
"413";33;1;118500;10;2;5;6;1;0;0;0;40;1;1
"414";46;1;188386;16;1;5;3;1;1;15024;0;60;1;2
"415";31;6;1033222;10;1;8;3;1;1;0;0;40;1;1
"416";35;1;92440;8;2;2;4;1;1;0;0;50;1;2
"417";52;1;190762;2;1;8;3;1;1;0;0;40;21;1
"418";30;1;426017;7;3;3;2;1;0;0;0;19;1;1
"419";34;5;243867;7;4;8;4;5;1;0;0;40;1;1
"420";34;6;240283;9;2;11;6;1;0;0;0;40;1;1
"421";20;1;61777;10;1;4;3;1;1;0;0;30;1;1
"422";17;1;175024;7;3;7;2;1;1;2176;0;18;1;1
"423";32;6;92003;13;1;5;1;1;0;0;0;40;1;2
"424";29;1;188401;9;2;10;4;1;1;0;0;40;1;1
"425";33;1;228528;6;3;2;6;1;0;0;0;35;1;1
"426";25;1;133373;9;1;11;3;1;1;0;0;60;1;1
"427";36;4;255191;14;3;6;4;1;1;0;1408;40;1;1
"428";23;1;204653;9;3;7;4;1;1;0;0;72;25;1
"429";63;3;222289;9;1;5;3;1;1;0;0;40;1;2
"430";47;5;287480;14;1;6;3;1;1;0;0;40;1;1
